ds,y,sentiment_avg,sales_volume
2017-01-31,10586.619999999999,3.111111111111111,81.0
2017-02-01,7538.77,3.171875,64.0
2017-02-02,8813.65,3.175675675675676,74.0
2017-02-03,9641.82,3.1551724137931036,58.0
2017-02-04,13599.27,3.257142857142857,70.0
2017-02-05,8406.89,3.182926829268293,82.0
2017-02-06,9399.76,3.25,84.0
2017-02-07,13824.29,3.3070866141732282,127.0
2017-02-08,11550.69,3.4782608695652173,92.0
2017-02-09,9191.6,3.240506329113924,79.0
2017-02-10,13142.34,3.4714285714285715,70.0
2017-02-11,4307.56,3.3137254901960786,51.0
2017-02-12,14922.35,3.203125,64.0
2017-02-13,10136.15,2.883720930232558,86.0
2017-02-14,11325.21,3.311688311688312,77.0
2017-02-15,6526.87,3.288135593220339,59.0
2017-02-16,5823.14,3.462962962962963,54.0
2017-02-17,6801.26,3.017857142857143,56.0
2017-02-18,7493.13,3.4461538461538463,65.0
2017-02-19,3564.83,3.1463414634146343,41.0
2017-02-20,7156.41,3.074626865671642,67.0
2017-02-21,8023.17,3.097560975609756,41.0
2017-02-22,6220.52,3.0833333333333335,60.0
2017-02-23,6271.34,3.3,70.0
2017-02-24,6630.12,3.1285714285714286,70.0
2017-02-25,3573.69,2.883720930232558,43.0
2017-02-26,5132.49,3.061224489795918,49.0
2017-02-27,5764.32,3.450980392156863,51.0
2017-02-28,10701.76,3.476923076923077,65.0
2017-03-01,12328.31,3.247787610619469,113.0
2017-03-02,11164.5,3.287671232876712,73.0
2017-03-03,12398.64,3.1707317073170733,82.0
2017-03-04,8594.74,3.1818181818181817,77.0
2017-03-05,6882.7300000000005,3.4430379746835444,79.0
2017-03-06,8618.04,2.981651376146789,109.0
2017-03-07,11407.61,3.375,96.0
2017-03-08,13178.97,3.2222222222222223,81.0
2017-03-09,10976.84,3.209090909090909,110.0
2017-03-10,11975.98,3.2708333333333335,96.0
2017-03-11,10513.41,3.1298701298701297,77.0
2017-03-12,6521.07,3.1549295774647885,71.0
2017-03-13,16630.26,3.027027027027027,111.0
2017-03-14,13935.57,3.081818181818182,110.0
2017-03-15,14491.94,3.206896551724138,116.0
2017-03-16,14134.44,3.056451612903226,124.0
2017-03-17,11910.5,3.0384615384615383,78.0
2017-03-18,16145.92,3.1216216216216215,74.0
2017-03-19,6649.34,3.0,59.0
2017-03-20,16861.09,3.1693548387096775,124.0
2017-03-21,11410.95,3.104761904761905,105.0
2017-03-22,14253.19,3.1048387096774195,124.0
2017-03-23,16073.78,3.2421875,128.0
2017-03-24,10094.57,3.072289156626506,83.0
2017-03-25,9874.89,2.9411764705882355,85.0
2017-03-26,6101.05,3.088235294117647,68.0
2017-03-27,16186.17,3.1271186440677967,118.0
2017-03-28,11420.22,3.2818181818181817,110.0
2017-03-29,8164.14,3.0843373493975905,83.0
2017-03-30,9795.61,3.1481481481481484,81.0
2017-03-31,12170.78,3.1944444444444446,72.0
2017-04-01,17518.47,3.3676470588235294,68.0
2017-04-02,8999.89,3.142857142857143,77.0
2017-04-03,8912.87,3.175,80.0
2017-04-04,12301.65,3.3577981651376145,109.0
2017-04-05,18474.04,3.3564356435643563,101.0
2017-04-06,19175.49,3.2475247524752477,101.0
2017-04-07,12932.49,3.130434782608696,92.0
2017-04-08,8457.09,3.1739130434782608,69.0
2017-04-09,7715.85,3.0547945205479454,73.0
2017-04-10,11378.51,2.9347826086956523,92.0
2017-04-11,6972.61,3.1875,80.0
2017-04-12,7790.21,3.09375,64.0
2017-04-13,9691.43,3.359375,64.0
2017-04-14,6704.19,3.185185185185185,54.0
2017-04-15,8210.19,3.269230769230769,52.0
2017-04-16,5025.96,2.98,50.0
2017-04-17,7432.09,2.8524590163934427,61.0
2017-04-18,21286.72,3.261904761904762,84.0
2017-04-19,11839.04,3.330275229357798,109.0
2017-04-20,12476.630000000001,3.185185185185185,108.0
2017-04-21,8426.27,3.026666666666667,75.0
2017-04-22,12781.17,3.223404255319149,94.0
2017-04-23,9904.050000000001,3.1235955056179776,89.0
2017-04-24,13026.85,3.152,125.0
2017-04-25,13747.460000000001,3.2033898305084745,118.0
2017-04-26,15365.59,3.198529411764706,136.0
2017-04-27,9521.93,3.3229166666666665,96.0
2017-04-28,15585.789999999999,3.2115384615384617,104.0
2017-04-29,11573.73,3.3012048192771086,83.0
2017-04-30,7981.360000000001,3.072463768115942,69.0
2017-05-01,11902.83,3.1,130.0
2017-05-02,17304.91,3.1503759398496243,133.0
2017-05-03,10037.06,3.081818181818182,110.0
2017-05-04,13573.55,3.2868852459016393,122.0
2017-05-05,13622.07,3.0854700854700856,117.0
2017-05-06,14463.18,3.1984126984126986,126.0
2017-05-07,16352.18,3.2232142857142856,112.0
2017-05-08,15873.06,3.0785714285714287,140.0
2017-05-09,20635.65,3.066666666666667,150.0
2017-05-10,20710.62,3.175,120.0
2017-05-11,18058.66,3.2941176470588234,136.0
2017-05-12,11734.75,3.1913043478260867,115.0
2017-05-13,8366.960000000001,3.2533333333333334,75.0
2017-05-14,14252.0,3.272,125.0
2017-05-15,17731.45,3.011904761904762,168.0
2017-05-16,21409.59,3.086206896551724,174.0
2017-05-17,18148.86,3.1870967741935483,155.0
2017-05-18,18205.14,2.9784172661870505,139.0
2017-05-19,18216.07,3.2988505747126435,174.0
2017-05-20,10538.41,3.282051282051282,78.0
2017-05-21,17259.91,3.176829268292683,164.0
2017-05-22,24457.51,3.325301204819277,166.0
2017-05-23,17246.9,3.125,136.0
2017-05-24,23539.87,3.05625,160.0
2017-05-25,15084.9,3.1140350877192984,114.0
2017-05-26,10411.18,3.108695652173913,92.0
2017-05-27,13760.72,3.4065934065934065,91.0
2017-05-28,9262.62,3.30188679245283,106.0
2017-05-29,17731.47,3.1627906976744184,172.0
2017-05-30,13497.69,3.2280701754385963,114.0
2017-05-31,19230.67,3.1791044776119404,134.0
2017-06-01,19316.25,2.9779411764705883,136.0
2017-06-02,18727.54,3.2330827067669174,133.0
2017-06-03,10432.85,3.13,100.0
2017-06-04,13693.74,3.2211538461538463,104.0
2017-06-05,23514.87,3.1049382716049383,162.0
2017-06-06,13689.74,3.175675675675676,148.0
2017-06-07,12519.67,3.122137404580153,131.0
2017-06-08,18937.77,3.2913907284768213,151.0
2017-06-09,15961.35,3.2913385826771653,127.0
2017-06-10,7941.56,3.189873417721519,79.0
2017-06-11,15009.56,3.3307086614173227,127.0
2017-06-12,14279.98,3.1586206896551725,145.0
2017-06-13,13803.4,3.036764705882353,136.0
2017-06-14,20396.94,3.1283783783783785,148.0
2017-06-15,12404.710000000001,3.1707317073170733,123.0
2017-06-16,12742.33,3.407766990291262,103.0
2017-06-17,11024.62,2.7195121951219514,82.0
2017-06-18,15875.28,3.3366336633663365,101.0
2017-06-19,22531.3,3.2203389830508473,177.0
2017-06-20,10658.53,3.1333333333333333,105.0
2017-06-21,6135.75,3.4054054054054053,37.0
2017-06-22,8529.36,3.0851063829787235,94.0
2017-06-23,12690.09,3.230088495575221,113.0
2017-06-24,8146.75,3.2911392405063293,79.0
2017-06-25,17230.079999999998,3.3271028037383177,107.0
2017-06-26,13127.77,3.0125,80.0
2017-06-27,16681.61,3.3790849673202614,153.0
2017-06-28,14477.84,3.161290322580645,124.0
2017-06-29,12169.53,3.2131147540983607,122.0
2017-06-30,12736.89,3.268041237113402,97.0
2017-07-01,11490.25,3.0543478260869565,92.0
2017-07-02,11277.55,3.3879310344827585,116.0
2017-07-03,15201.36,3.1774193548387095,124.0
2017-07-04,15240.14,3.287878787878788,132.0
2017-07-05,20585.920000000002,3.0745341614906834,161.0
2017-07-06,20951.56,3.0961538461538463,156.0
2017-07-07,13158.89,3.4198473282442747,131.0
2017-07-08,10206.86,3.3076923076923075,91.0
2017-07-09,8070.58,3.21875,96.0
